scene,tick,rgb_present,rangefinder_raw_beams,rangefinder_hit_beam_indices,any_rangefinder_hit,rangefinder_min_positive_range_m
target_right_inner_20m,9,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 18.4523868560791, -1.0, -1.0]",[6],True,18.4523868560791
target_right_inner_20m,10,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 18.450590133666992, -1.0, -1.0]",[6],True,18.450590133666992
target_right_inner_20m,11,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 18.449520111083984, -1.0, -1.0]",[6],True,18.449520111083984
target_right_inner_20m,12,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 18.44947052001953, -1.0, -1.0]",[6],True,18.44947052001953
target_right_outer_20m,1,True,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 21.118051528930664, 20.57064437866211]","[7, 8]",True,20.57064437866211
target_right_outer_20m,2,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 21.118051528930664, 20.569677352905273]","[7, 8]",True,20.569677352905273
target_right_outer_20m,3,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 21.118051528930664, 20.569486618041992]","[7, 8]",True,20.569486618041992
target_right_outer_20m,4,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 21.118051528930664, 20.569589614868164]","[7, 8]",True,20.569589614868164
target_right_outer_20m,5,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 21.118051528930664, 20.57103729248047]","[7, 8]",True,20.57103729248047
target_right_outer_20m,6,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 21.118051528930664, 20.57281494140625]","[7, 8]",True,20.57281494140625
target_right_outer_20m,7,True,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 21.118051528930664, 20.574687957763672]","[7, 8]",True,20.574687957763672
target_right_outer_20m,8,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 21.118051528930664, 20.576372146606445]","[7, 8]",True,20.576372146606445
target_right_outer_20m,9,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 21.118051528930664, 20.57815933227539]","[7, 8]",True,20.57815933227539
target_right_outer_20m,10,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 21.118051528930664, 20.580244064331055]","[7, 8]",True,20.580244064331055
target_right_outer_20m,11,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 21.118051528930664, 20.58184814453125]","[7, 8]",True,20.58184814453125
target_right_outer_20m,12,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 21.118051528930664, 20.582408905029297]","[7, 8]",True,20.582408905029297
target_left_outer_35m,1,True,"[-1.0, 39.39585876464844, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[1],True,39.39585876464844
target_left_outer_35m,2,False,"[-1.0, 39.39585876464844, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[1],True,39.39585876464844
target_left_outer_35m,3,False,"[-1.0, 39.39585876464844, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[1],True,39.39585876464844
