phase_name,run_kind,policy_step,observation_phase,sensor_id,sensor_role,sensor_footprint,source_model,reporter_usv_id,observer_world_location,observer_grid_cell,sample_index,sample_grid_cell,sample_world_xy,clue_value,noise_std,signal_without_noise,distance_to_registered_source_m,registered_source_world_location_for_audit,registered_source_not_exposed_to_planner,used_for_gp_observation,used_for_detection,directly_updates_found_mask,detected_mask_from_clue,found_mask_from_clue,truth_used_for_detection,actor_truth_used_for_detection,target_truth_used_for_detection,teammate_truth_used_for_detection
phase5e_bridge_clue_sensor_realized_search,teammate_only,14,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv0,"[-314.8520812988281, 221.08135986328125, 0.17023037374019623]","[18, 9]",4,"[17, 8]","[-320.0, 230.0]",0.6789059187886871,0.03,0.697451565950489,50.80354318352215,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,teammate_only,14,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv0,"[-314.8520812988281, 221.08135986328125, 0.17023037374019623]","[18, 9]",5,"[20, 11]","[-290.0, 200.0]",1.4644796844032757,0.03,1.4188999303410441,29.0,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,teammate_only,14,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv1,"[-381.1786193847656, -87.38156127929688, 0.17154183983802795]","[49, 2]",0,"[48, 2]","[-380.0, -80.0]",0.036203824468487376,0.03,1.2472028754070248e-18,320.46996739164183,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,teammate_only,14,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv1,"[-381.1786193847656, -87.38156127929688, 0.17154183983802795]","[49, 2]",1,"[51, 2]","[-380.0, -110.0]",0.010286348806536932,0.03,5.432873621476267e-22,348.7993692654848,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,teammate_only,14,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv1,"[-381.1786193847656, -87.38156127929688, 0.17154183983802795]","[49, 2]",2,"[45, 3]","[-370.0, -50.0]",0.0,0.03,3.2361118247151862e-15,288.8615585362649,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,teammate_only,14,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv1,"[-381.1786193847656, -87.38156127929688, 0.17154183983802795]","[49, 2]",3,"[50, 3]","[-370.0, -100.0]",0.028068383451039625,0.03,1.8324710690716844e-20,336.2157045707413,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,teammate_only,14,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv1,"[-381.1786193847656, -87.38156127929688, 0.17154183983802795]","[49, 2]",4,"[45, 4]","[-360.0, -50.0]",0.06901168631972916,0.03,7.027863579545744e-15,285.55384781158176,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,teammate_only,14,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv1,"[-381.1786193847656, -87.38156127929688, 0.17154183983802795]","[49, 2]",5,"[47, 6]","[-340.0, -70.0]",0.019064034171264208,0.03,2.6401485884467316e-16,299.3008519867593,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,teammate_only,15,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv0,"[-304.8398132324219, 220.77108764648438, 0.17008332908153534]","[18, 10]",0,"[17, 14]","[-260.0, 230.0]",1.882682468459312,0.03,1.8575708314099897,13.453624047073712,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,teammate_only,15,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv0,"[-304.8398132324219, 220.77108764648438, 0.17008332908153534]","[18, 10]",1,"[15, 9]","[-310.0, 250.0]",0.7444143029390046,0.03,0.7384666404622623,49.4064773081425,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
