planner_adaptation_mode,target_motion_mode,map_kind,episode_seed,policy_name,clue_acquisition_mode,path_safety_mode,success_all_found,time_to_first_detection,time_to_first_detection_censored,time_to_all_found,time_to_all_found_censored,detection_rate,found_count,known_free_observation_ratio_final,planning_time_ms_mean,path_length,switch_count,anchor_switch_count,replan_count,path_invalidations_per_episode,clearance_penalty_raw_mean,near_obstacle_step_ratio,min_clearance_cells_mean
no_kappa,static,open_water,6,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,True,43,43,176,176,1.0,3,0.6025408348457351,19.53601944458367,176,30,12,36,0,0.0035511363636363635,0.0035511363636363635,7.403409090909091
no_kappa,static,open_water,7,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,True,42,42,89,89,1.0,3,0.367967332123412,19.227877777464325,89,13,5,18,0,0.007022471910112359,0.007022471910112359,7.595505617977528
no_kappa,static,open_water,8,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,False,69,69,,241,0.3333333333333333,1,0.7409255898366606,22.85081836735302,240,43,19,49,0,0.0026041666666666665,0.0026041666666666665,8.0
no_kappa,static,open_water,9,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,True,52,52,213,213,1.0,3,0.6705989110707804,23.484365116611265,213,35,12,43,0,0.0029342723004694834,0.0029342723004694834,7.727699530516432
no_kappa,static,harbor_cove,0,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,True,34,34,82,82,1.0,3,0.4363738738738739,19.259341176674592,82,14,10,17,0,0.007621951219512195,0.007621951219512195,7.2560975609756095
no_kappa,static,harbor_cove,1,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,False,38,38,,241,0.6666666666666666,2,0.6295045045045045,18.546021999500226,240,44,21,50,0,0.0026041666666666665,0.0026041666666666665,4.5875
no_kappa,static,harbor_cove,2,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,False,39,39,,241,0.6666666666666666,2,0.7927927927927928,25.705060784364868,240,40,16,51,0,0.0067708333333333336,0.0067708333333333336,4.508333333333334
no_kappa,static,harbor_cove,3,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,True,38,38,135,135,1.0,3,0.606418918918919,22.711200000129693,135,21,11,27,0,0.018518518518518517,0.018518518518518517,5.814814814814815
no_kappa,static,harbor_cove,4,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,True,39,39,66,66,1.0,3,0.3474099099099099,17.7240857130008,66,13,4,14,0,0.00946969696969697,0.00946969696969697,6.4393939393939394
no_kappa,static,harbor_cove,5,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,True,19,19,150,150,1.0,3,0.5962837837837838,19.21305161311231,150,23,14,31,0,0.004166666666666667,0.004166666666666667,6.54
no_kappa,static,harbor_cove,6,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,False,44,44,,241,0.6666666666666666,2,0.831081081081081,33.60972549026152,240,36,20,51,0,0.0026041666666666665,0.0026041666666666665,5.483333333333333
