tick_global,waypoint_index,target_cell,target_world_x,target_world_y,location_x,location_y,location_z,projected_row,projected_col,distance_to_target_m,heading_deg,target_heading_deg,heading_error_deg,command_0,command_1,arrived,timeout
101,0,"[40, 45]",25.0,0.0,13.596617698669434,0.0,0.16386088728904724,40,43,11.403382301330566,0.0,0.0,0.0,8000.0,8000.0,False,False
102,0,"[40, 45]",25.0,0.0,13.745943069458008,0.0,0.163587749004364,40,43,11.254056930541992,0.0,0.0,0.0,8000.0,8000.0,False,False
103,0,"[40, 45]",25.0,0.0,13.895267486572266,0.0,0.16353803873062134,40,43,11.104732513427734,0.0,0.0,0.0,8000.0,8000.0,False,False
104,0,"[40, 45]",25.0,0.0,14.044590950012207,0.0,0.16368931531906128,40,43,10.955409049987793,0.0,0.0,0.0,8000.0,8000.0,False,False
105,0,"[40, 45]",25.0,0.0,14.193913459777832,0.0,0.16402138769626617,40,43,10.806086540222168,0.0,0.0,0.0,8000.0,8000.0,False,False
106,0,"[40, 45]",25.0,0.0,14.34323501586914,0.0,0.1644572913646698,40,43,10.65676498413086,0.0,0.0,0.0,8000.0,8000.0,False,False
107,0,"[40, 45]",25.0,0.0,14.49255657196045,0.0,0.16498661041259766,40,43,10.50744342803955,0.0,0.0,0.0,8000.0,8000.0,False,False
108,0,"[40, 45]",25.0,0.0,14.641879081726074,0.0,0.16548235714435577,40,43,10.358120918273926,0.0,0.0,0.0,8000.0,8000.0,False,False
109,0,"[40, 45]",25.0,0.0,14.7912015914917,0.0,0.1658303141593933,40,43,10.2087984085083,0.0,0.0,0.0,8000.0,8000.0,False,False
110,0,"[40, 45]",25.0,0.0,14.940526008605957,0.0,0.16604532301425934,40,43,10.059473991394043,0.0,0.0,0.0,8000.0,8000.0,False,False
111,0,"[40, 45]",25.0,0.0,15.089851379394531,0.0,0.16608195006847382,40,43,9.910148620605469,0.0,0.0,0.0,8000.0,8000.0,False,False
112,0,"[40, 45]",25.0,0.0,15.239178657531738,0.0,0.16595809161663055,40,43,9.760821342468262,0.0,0.0,0.0,8000.0,8000.0,False,False
113,0,"[40, 45]",25.0,0.0,15.388505935668945,0.0,0.16568990051746368,40,43,9.611494064331055,0.0,0.0,0.0,8000.0,8000.0,False,False
114,0,"[40, 45]",25.0,0.0,15.537835121154785,0.0,0.16535063087940216,40,43,9.462164878845215,0.0,0.0,0.0,8000.0,8000.0,False,False
115,0,"[40, 45]",25.0,0.0,15.687164306640625,0.0,0.16494745016098022,40,43,9.312835693359375,0.0,0.0,0.0,8000.0,8000.0,False,False
116,0,"[40, 45]",25.0,0.0,15.836492538452148,0.0,0.16460436582565308,40,43,9.163507461547852,0.0,0.0,0.0,8000.0,8000.0,False,False
117,0,"[40, 45]",25.0,0.0,15.985820770263672,0.0,0.16437414288520813,40,43,9.014179229736328,0.0,0.0,0.0,8000.0,8000.0,False,False
118,0,"[40, 45]",25.0,0.0,16.135147094726562,0.0,0.1643042415380478,40,43,8.864852905273438,0.0,0.0,0.0,8000.0,8000.0,False,False
119,0,"[40, 45]",25.0,0.0,16.284473419189453,0.0,0.1643785536289215,40,43,8.715526580810547,0.0,0.0,0.0,8000.0,8000.0,False,False
120,0,"[40, 45]",25.0,0.0,16.43379783630371,0.0,0.16458261013031006,40,43,8.566202163696289,0.0,0.0,0.0,8000.0,8000.0,False,False
121,0,"[40, 45]",25.0,0.0,16.5831241607666,0.0,0.1648445427417755,40,43,8.416875839233398,0.0,0.0,0.0,8000.0,8000.0,False,False
122,0,"[40, 45]",25.0,0.0,16.73244857788086,0.0,0.16509978473186493,40,43,8.26755142211914,0.0,0.0,0.0,8000.0,8000.0,False,False
123,0,"[40, 45]",25.0,0.0,16.881772994995117,0.0,0.16534897685050964,40,43,8.118227005004883,0.0,0.0,0.0,8000.0,8000.0,False,False
124,0,"[40, 45]",25.0,0.0,17.031099319458008,0.0,0.16547514498233795,40,43,7.968900680541992,0.0,0.0,0.0,7974.731802940369,7974.731802940369,False,False
125,0,"[40, 45]",25.0,0.0,17.1804256439209,0.0,0.16549064218997955,40,43,7.819574356079102,0.0,0.0,0.0,7853.40416431427,7853.40416431427,False,False
126,0,"[40, 45]",25.0,0.0,17.329753875732422,0.0,0.16540658473968506,40,43,7.670246124267578,0.0,0.0,0.0,7732.074975967407,7732.074975967407,False,False
127,0,"[40, 45]",25.0,0.0,17.479082107543945,0.0,0.16523297131061554,40,43,7.520917892456055,0.0,0.0,0.0,7610.745787620544,7610.745787620544,False,False
128,0,"[40, 45]",25.0,0.0,17.62841033935547,0.0,0.165037602186203,40,44,7.371589660644531,0.0,0.0,0.0,7489.416599273682,7489.416599273682,False,False
129,0,"[40, 45]",25.0,0.0,17.777738571166992,0.0,0.16488146781921387,40,44,7.222261428833008,0.0,0.0,0.0,7368.087410926819,7368.087410926819,False,False
130,0,"[40, 45]",25.0,0.0,17.927064895629883,0.0,0.16476060450077057,40,44,7.072935104370117,0.0,0.0,0.0,7246.75977230072,7246.75977230072,False,False
