tick_global,waypoint_index,target_cell,target_world_x,target_world_y,location_x,location_y,location_z,projected_row,projected_col,distance_to_target_m,heading_deg,target_heading_deg,heading_error_deg,command_0,command_1,arrived,timeout
139,2,"[41, 40]",0.0,-10.0,9.933157920837402,-6.461807727813721,0.1912762075662613,41,41,10.54449765684708,238.0714340209961,199.6059063503542,-38.465527670641904,8000.0,1349.9185788563946,False,False
140,2,"[41, 40]",0.0,-10.0,9.913742065429688,-6.520718097686768,0.19372834265232086,41,41,10.506554349339961,236.01453399658203,199.33880121393813,-36.675732782643905,8000.0,1670.7099725801181,False,False
141,2,"[41, 40]",0.0,-10.0,9.8880033493042,-6.586253643035889,0.1960878223180771,41,41,10.46070143085715,234.00899505615234,199.04678435604083,-34.96221070011151,8000.0,1967.6115437409194,False,False
142,2,"[41, 40]",0.0,-10.0,9.856143951416016,-6.657448768615723,0.19830815494060516,41,41,10.407507978640377,232.05358123779297,198.7335328980881,-33.32004833970487,8000.0,2242.2349486468415,False,False
143,2,"[41, 40]",0.0,-10.0,9.81836223602295,-6.733426094055176,0.20005299150943756,41,41,10.347499315330307,230.1470184326172,198.40230919264152,-31.744709239975663,8000.0,2496.0908181377895,False,False
144,2,"[41, 40]",0.0,-10.0,9.774860382080078,-6.813392639160156,0.20125435292720795,41,41,10.281165398986507,228.2880859375,198.05598367597295,-30.232102261527046,8000.0,2730.5764811879994,False,False
145,2,"[41, 40]",0.0,-10.0,9.725841522216797,-6.896628379821777,0.20190943777561188,41,41,10.208962176842657,226.47561645507812,197.69711099165195,-28.77850546342617,8000.0,2946.988627292064,False,False
146,2,"[41, 40]",0.0,-10.0,9.671504974365234,-6.98248291015625,0.2020740509033203,41,41,10.131308792879159,224.70843505859375,197.32796247145868,-27.380472587135074,8000.0,3146.5369701312384,False,False
147,2,"[41, 40]",0.0,-10.0,9.612051963806152,-7.070367813110352,0.20173919200897217,41,41,10.048596305224402,222.9854278564453,196.95056008583077,-26.03486777061454,8000.0,3330.34176746226,False,False
148,2,"[41, 40]",0.0,-10.0,9.547679901123047,-7.159753322601318,0.2009551227092743,41,41,9.961184301215557,221.3054962158203,196.56670466566214,-24.73879155015817,8000.0,3499.4448483798806,False,False
149,2,"[41, 40]",0.0,-10.0,9.478585243225098,-7.250159740447998,0.1998843103647232,41,41,9.869407260121429,219.6675567626953,196.17801647235115,-23.489540290344166,8000.0,3654.8195011062585,False,False
150,2,"[41, 40]",0.0,-10.0,9.404961585998535,-7.341156959533691,0.19867253303527832,41,41,9.77357400074017,218.07057189941406,195.78593836410127,-22.284633535312793,8000.0,3797.366369881548,False,False
