tick_global,waypoint_index,target_x,target_y,gps_x,gps_y,gps_z,distance_to_target,arrived,timeout
4472,3,25.0,-25.0,12.524343490600586,-25.63150978088379,0.17013683915138245,12.4916,False,False
4473,3,25.0,-25.0,12.574202537536621,-25.628984451293945,0.17014193534851074,12.4417,False,False
4474,3,25.0,-25.0,12.624061584472656,-25.626461029052734,0.1701078712940216,12.3918,False,False
4475,3,25.0,-25.0,12.673920631408691,-25.623937606811523,0.17009736597537994,12.3419,False,False
4476,3,25.0,-25.0,12.723779678344727,-25.621414184570312,0.17010802030563354,12.2919,False,False
4477,3,25.0,-25.0,12.773638725280762,-25.6188907623291,0.17013774812221527,12.242,False,False
4478,3,25.0,-25.0,12.823497772216797,-25.61636734008789,0.1701258271932602,12.1921,False,False
4479,3,25.0,-25.0,12.873356819152832,-25.613842010498047,0.1700764149427414,12.1422,False,False
4480,3,25.0,-25.0,12.923215866088867,-25.611318588256836,0.17005205154418945,12.0922,False,False
4481,3,25.0,-25.0,12.973074913024902,-25.608795166015625,0.170050248503685,12.0423,False,False
4482,3,25.0,-25.0,13.022933959960938,-25.606271743774414,0.17006872594356537,11.9924,False,False
4483,3,25.0,-25.0,13.072793006896973,-25.603748321533203,0.170105442404747,11.9425,False,False
4484,3,25.0,-25.0,13.122652053833008,-25.601224899291992,0.17015857994556427,11.8926,False,False
4485,3,25.0,-25.0,13.172511100769043,-25.59869956970215,0.1701676845550537,11.8426,False,False
4486,3,25.0,-25.0,13.222370147705078,-25.596176147460938,0.1701371669769287,11.7927,False,False
4487,3,25.0,-25.0,13.27223014831543,-25.593652725219727,0.17007097601890564,11.7428,False,False
4488,3,25.0,-25.0,13.322089195251465,-25.591129302978516,0.17003148794174194,11.6929,False,False
4489,3,25.0,-25.0,13.3719482421875,-25.588605880737305,0.17001603543758392,11.6429,False,False
4490,3,25.0,-25.0,13.421807289123535,-25.58608055114746,0.17002220451831818,11.593,False,False
4491,3,25.0,-25.0,13.47166633605957,-25.58355712890625,0.1700478047132492,11.5431,False,False
4492,3,25.0,-25.0,13.521525382995605,-25.58103370666504,0.17009089887142181,11.4932,False,False
4493,3,25.0,-25.0,13.57138442993164,-25.578510284423828,0.17014974355697632,11.4432,False,False
4494,3,25.0,-25.0,13.621243476867676,-25.575986862182617,0.17016394436359406,11.3933,False,False
4495,3,25.0,-25.0,13.671102523803711,-25.573461532592773,0.17007917165756226,11.3434,False,False
