run_kind,tick_global,policy_step,tick_in_policy_step,reporter_usv_id,agent_id,sensor_id,recommended_rule_id,expected_target_present_for_audit,raw_sensor_found,accepted_candidate,teammate_rejected,range_limited,estimated_world_position,target_world_location_for_audit,target_position_error_m,observer_world_location,planned_observer_world_location,observer_pose_source,matched_range_m,bearing_deg,blob_yaw_deg,matched_beam_index,matched_beam_yaw_deg,beam_yaw_error_deg,local_range_scaled_blob_present,local_blob_area,local_blob_range_scaled_area,sphere_blob_local_candidate_count,sphere_blob_candidate_count,rgb_changed_pixels,rgb_change_bbox_xyxy,rangefinder_hit_beam_indices,rangefinder_min_positive_range_m,nearest_teammate_agent_name,nearest_teammate_distance_m,within_teammate_exclusion_radius,truth_used_for_detection,actor_truth_used_for_detection,target_truth_used_for_detection,teammate_truth_used_for_detection
target,25,3,1,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[3.4468133449554443, 5.794250011444092, 0.18450652062892914]","[10.170212765957446, 6.0, 0.0]",live_location_sensor,,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,26,3,2,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[3.4874744415283203, -5.760264873504639, 0.17498564720153809]","[10.51063829787234, -6.0, 0.0]",live_location_sensor,,,,,,,False,0,,0,0,0,,[8],27.759000778198242,,,False,False,False,False,False
target,26,3,2,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[3.4938032627105713, 5.782679557800293, 0.18105845153331757]","[10.51063829787234, 6.0, 0.0]",live_location_sensor,,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,27,3,3,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[3.533526659011841, -5.745090007781982, 0.16889014840126038]","[10.851063829787234, -6.0, 0.0]",live_location_sensor,,,,,,,False,0,,0,0,0,,[8],27.92522430419922,,,False,False,False,False,False
target,27,3,3,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[3.540949821472168, 5.771101951599121, 0.1762230396270752]","[10.851063829787234, 6.0, 0.0]",live_location_sensor,,,,,,,False,0,,0,0,0,,[6],27.830354690551758,,,False,False,False,False,False
target,28,3,4,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[3.579608917236328, -5.729574203491211, 0.16339363157749176]","[11.191489361702128, -6.0, 0.0]",live_location_sensor,,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,28,3,4,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[3.588244676589966, 5.759549617767334, 0.170491561293602]","[11.191489361702128, 6.0, 0.0]",live_location_sensor,,,,,,,False,0,,0,0,0,,[6],27.59552001953125,,,False,False,False,False,False
target,29,3,5,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[3.6257095336914062, -5.7137322425842285, 0.15908341109752655]","[11.53191489361702, -6.0, 0.0]",live_location_sensor,,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,29,3,5,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[3.6356801986694336, 5.748055458068848, 0.16489411890506744]","[11.53191489361702, 6.0, 0.0]",live_location_sensor,,,,,,,False,0,,0,0,0,,[6],27.545499801635742,,,False,False,False,False,False
target,30,3,6,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[3.671818494796753, -5.6975789070129395, 0.15678195655345917]","[11.872340425531915, -6.0, 0.0]",live_location_sensor,,,,,,,False,0,,1,0,30,"[29, 118, 274, 184]",[],,,,False,False,False,False,False
