tick_global,waypoint_index,target_row,target_col,target_x,target_y,location_x,location_y,location_z,gps_x,gps_y,gps_z,projected_row,projected_col,distance_to_target_m,arrived,timeout,algorithm_step
2012,0,2,10,-150.0,190.0,-152.84689331054688,190.0,0.17943204939365387,-152.84689331054688,190.0,0.17943204939365387,2,9,2.846893310546875,False,False,10
2013,0,2,10,-150.0,190.0,-152.83238220214844,190.0,0.1794842630624771,-152.83238220214844,190.0,0.1794842630624771,2,9,2.8323822021484375,False,False,10
2014,0,2,10,-150.0,190.0,-152.81793212890625,190.0,0.1794920563697815,-152.81793212890625,190.0,0.1794920563697815,2,9,2.81793212890625,False,False,10
2015,0,2,10,-150.0,190.0,-152.80355834960938,190.0,0.17945988476276398,-152.80355834960938,190.0,0.17945988476276398,2,9,2.803558349609375,False,False,10
2016,0,2,10,-150.0,190.0,-152.7892608642578,190.0,0.17939172685146332,-152.7892608642578,190.0,0.17939172685146332,2,9,2.7892608642578125,False,False,10
2017,0,2,10,-150.0,190.0,-152.77503967285156,190.0,0.17934997379779816,-152.77503967285156,190.0,0.17934997379779816,2,9,2.7750396728515625,False,False,10
2018,0,2,10,-150.0,190.0,-152.76089477539062,190.0,0.17933200299739838,-152.76089477539062,190.0,0.17933200299739838,2,9,2.760894775390625,False,False,10
2019,0,2,10,-150.0,190.0,-152.746826171875,190.0,0.17933544516563416,-152.746826171875,190.0,0.17933544516563416,2,9,2.746826171875,False,False,10
2020,0,2,10,-150.0,190.0,-152.7328338623047,190.0,0.1793581247329712,-152.7328338623047,190.0,0.1793581247329712,2,9,2.7328338623046875,False,False,10
2021,0,2,10,-150.0,190.0,-152.71890258789062,190.0,0.17939813435077667,-152.71890258789062,190.0,0.17939813435077667,2,9,2.718902587890625,False,False,10
2022,0,2,10,-150.0,190.0,-152.70506286621094,190.0,0.1794537454843521,-152.70506286621094,190.0,0.1794537454843521,2,9,2.7050628662109375,False,False,10
2023,0,2,10,-150.0,190.0,-152.6912841796875,190.0,0.17946459352970123,-152.6912841796875,190.0,0.17946459352970123,2,9,2.6912841796875,False,False,10
2024,0,2,10,-150.0,190.0,-152.67758178710938,190.0,0.17943516373634338,-152.67758178710938,190.0,0.17943516373634338,2,9,2.677581787109375,False,False,10
2025,0,2,10,-150.0,190.0,-152.6639404296875,190.0,0.17942826449871063,-152.6639404296875,190.0,0.17942826449871063,2,9,2.6639404296875,False,False,10
2026,0,2,10,-150.0,190.0,-152.65037536621094,190.0,0.1794416606426239,-152.65037536621094,190.0,0.1794416606426239,2,9,2.6503753662109375,False,False,10
2027,0,2,10,-150.0,190.0,-152.6368865966797,190.0,0.1794145256280899,-152.6368865966797,190.0,0.1794145256280899,2,9,2.6368865966796875,False,False,10
2028,0,2,10,-150.0,190.0,-152.6234588623047,190.0,0.1794096976518631,-152.6234588623047,190.0,0.1794096976518631,2,9,2.6234588623046875,False,False,10
2029,0,2,10,-150.0,190.0,-152.61012268066406,190.0,0.1794249415397644,-152.61012268066406,190.0,0.1794249415397644,2,9,2.6101226806640625,False,False,10
2030,0,2,10,-150.0,190.0,-152.59683227539062,190.0,0.17945827543735504,-152.59683227539062,190.0,0.17945827543735504,2,9,2.596832275390625,False,False,10
2031,0,2,10,-150.0,190.0,-152.5836181640625,190.0,0.17944906651973724,-152.5836181640625,190.0,0.17944906651973724,2,9,2.5836181640625,False,False,10
2032,0,2,10,-150.0,190.0,-152.5704803466797,190.0,0.17940159142017365,-152.5704803466797,190.0,0.17940159142017365,2,9,2.5704803466796875,False,False,10
2033,0,2,10,-150.0,190.0,-152.5574188232422,190.0,0.1793784499168396,-152.5574188232422,190.0,0.1793784499168396,2,9,2.5574188232421875,False,False,10
2034,0,2,10,-150.0,190.0,-152.54440307617188,190.0,0.1793772280216217,-152.54440307617188,190.0,0.1793772280216217,2,9,2.544403076171875,False,False,10
2035,0,2,10,-150.0,190.0,-152.53147888183594,190.0,0.17939573526382446,-152.53147888183594,190.0,0.17939573526382446,2,9,2.5314788818359375,False,False,10
2036,0,2,10,-150.0,190.0,-152.5186004638672,190.0,0.1794319748878479,-152.5186004638672,190.0,0.1794319748878479,2,9,2.5186004638671875,False,False,10
2037,0,2,10,-150.0,190.0,-152.50579833984375,190.0,0.17948420345783234,-152.50579833984375,190.0,0.17948420345783234,2,9,2.50579833984375,False,False,10
