step,robot_pos_before,sv_world_before,target_waypoint_cell,target_waypoint_world,target_world_current,target_cell_current,target_motion_ticks,target_distance_to_waypoint_m,segment_path,next_cell,next_cell_world,sv_final_world,sv_final_projected_cell,arrived,timeout,ticks,distance_to_next_cell_m,found_count_before,found_count_after,detected_count_this_step,found_mask,find_times,remaining_intensity_mass,search_info_map_peak,search_info_map_mean,replanned,replan_reason,committed_viewpoint,committed_anchor,anchor_source,target_cell_source,target_motion_source,target_motion_mode_for_policy,viewpoint_generation_mode,path_safety_mode,clue_acquisition_mode,run_label,phase_note,world
105,"[43, 29]","[-52.49406433105469, -14.946880340576172]","[35, 35]","[-25.0, 25.0]","[-25.532146453857422, 25.462078094482422, 0.17815518379211426]","[35, 35]",10,1.92906725369032,"[[43, 29], [43, 30], [43, 31], [43, 32], [43, 33]]","[43, 30]","[-50.0, -15.0]","[-52.49406433105469, -14.946880340576172, 0.16602389514446259]","[43, 30]",True,False,206,2.494629949643147,0,0,0,[False],[None],1.0000000000000002,1.0,0.6258379018164901,False,none,"[43, 47]","[42, 43]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
106,"[43, 30]","[-49.860198974609375, -12.485610008239746]","[35, 35]","[-25.0, 25.0]","[-25.219419479370117, 25.190526962280273, 0.1781921237707138]","[35, 35]",10,0.6726853522183145,"[[43, 30], [42, 30], [41, 30], [40, 30], [39, 30], [38, 30], [37, 30], [36, 30], [35, 30]]","[42, 30]","[-50.0, -10.0]","[-49.860198974609375, -12.485610008239746, 0.16110222041606903]","[42, 30]",True,False,196,2.489538398932995,0,0,0,[False],[None],1.0000000000000002,1.0,0.6743599218372,True,commit_expired,"[35, 27]","[33, 30]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
107,"[42, 30]","[-49.83418655395508, -7.4832305908203125]","[35, 35]","[-25.0, 25.0]","[-25.110607147216797, 25.096044540405273, 0.1781492829322815]","[35, 35]",10,0.27974341835201433,"[[42, 30], [41, 30], [40, 30], [39, 30], [38, 30], [37, 30], [36, 30], [35, 30]]","[41, 30]","[-50.0, -5.0]","[-49.83418655395508, -7.4832305908203125, 0.16629105806350708]","[41, 30]",True,False,207,2.4887603874369044,0,0,0,[False],[None],1.0,1.0,0.7158136696776494,False,none,"[35, 27]","[33, 30]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
108,"[41, 30]","[-49.76707458496094, -2.4783356189727783]","[35, 35]","[-25.0, 25.0]","[-25.075878143310547, 25.065887451171875, 0.17813017964363098]","[35, 35]",10,0.14302329818483472,"[[41, 30], [40, 30], [39, 30], [38, 30], [37, 30], [36, 30], [35, 30]]","[40, 30]","[-50.0, 0.0]","[-49.76707458496094, -2.4783356189727783, 0.1653381735086441]","[40, 30]",True,False,207,2.489257256540654,0,0,0,[False],[None],0.9999999999999999,1.0,0.6714557427863177,False,none,"[35, 27]","[33, 30]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
109,"[40, 30]","[-49.77265930175781, 2.511702299118042]","[35, 35]","[-25.0, 25.0]","[-25.064821243286133, 25.056285858154297, 0.17812974750995636]","[35, 35]",10,0.09938602821589762,"[[40, 30], [39, 30], [38, 30], [37, 30], [36, 30], [35, 30]]","[39, 30]","[-50.0, 5.0]","[-49.77265930175781, 2.511702299118042, 0.16573123633861542]","[39, 30]",True,False,206,2.4986614899364987,0,0,0,[False],[None],1.0,1.0,0.6752495899462408,False,none,"[35, 27]","[33, 30]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
110,"[39, 30]","[-49.771324157714844, 7.521067142486572]","[35, 35]","[-25.0, 25.0]","[-25.061264038085938, 25.053197860717773, 0.17813219130039215]","[35, 35]",10,0.08549243991947532,"[[39, 30], [38, 30], [37, 30], [36, 30], [35, 30]]","[38, 30]","[-50.0, 10.0]","[-49.771324157714844, 7.521067142486572, 0.16576193273067474]","[38, 30]",True,False,207,2.48945792350554,0,0,0,[False],[None],1.0000000000000004,1.0,0.6772708669907344,False,none,"[35, 27]","[33, 30]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
111,"[38, 30]","[-49.77127456665039, 12.511561393737793]","[35, 35]","[-25.0, 25.0]","[-25.060131072998047, 25.052213668823242, 0.17813174426555634]","[35, 35]",10,0.08102392586798829,"[[38, 30], [37, 30], [36, 30], [35, 30], [34, 30], [33, 30], [32, 30], [31, 30], [30, 30]]","[37, 30]","[-50.0, 15.0]","[-49.77127456665039, 12.511561393737793, 0.16578468680381775]","[37, 30]",True,False,206,2.498928174437425,0,0,0,[False],[None],1.0,1.0,0.6979978793478593,True,commit_expired,"[29, 29]","[32, 31]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
112,"[37, 30]","[-49.771514892578125, 17.521032333374023]","[35, 35]","[-25.0, 25.0]","[-25.059768676757812, 25.051897048950195, 0.17815348505973816]","[35, 35]",10,0.07960158849520381,"[[37, 30], [36, 30], [35, 30], [34, 30], [33, 30], [32, 30], [31, 30], [30, 30]]","[36, 30]","[-50.0, 20.0]","[-49.771514892578125, 17.521032333374023, 0.165744811296463]","[36, 30]",True,False,207,2.4894750724782573,0,0,0,[False],[None],0.9999999999999998,1.0,0.7063693711908753,False,none,"[29, 29]","[32, 31]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
113,"[36, 30]","[-49.7712287902832, 22.511550903320312]","[35, 35]","[-25.0, 25.0]","[-25.05965232849121, 25.051795959472656, 0.17815305292606354]","[35, 35]",10,0.07914332995972616,"[[36, 30], [35, 30], [34, 30], [33, 30], [32, 30], [31, 30], [30, 30]]","[35, 30]","[-50.0, 25.0]","[-49.7712287902832, 22.511550903320312, 0.16564182937145233]","[35, 30]",True,False,206,2.498942811102575,0,0,0,[False],[None],0.9999999999999999,1.0,0.7185909122063739,False,none,"[29, 29]","[32, 31]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
114,"[35, 30]","[-49.77151870727539, 27.52103042602539]","[35, 35]","[-25.0, 25.0]","[-25.059614181518555, 25.05176544189453, 0.1781921684741974]","[35, 35]",10,0.07899727231526757,"[[35, 30], [34, 30], [33, 30], [32, 30], [31, 30], [30, 30]]","[34, 30]","[-50.0, 30.0]","[-49.77151870727539, 27.52103042602539, 0.16570653021335602]","[34, 30]",True,False,207,2.489476621665077,0,0,0,[False],[None],1.0000000000000002,1.0,0.696885960782296,False,none,"[29, 29]","[32, 31]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
115,"[34, 30]","[-49.7712287902832, 32.51154708862305]","[35, 35]","[-25.0, 25.0]","[-25.059602737426758, 25.051755905151367, 0.17819173634052277]","[35, 35]",10,0.07895134037374925,"[[34, 30], [33, 30], [32, 30], [31, 30], [30, 30]]","[33, 30]","[-50.0, 35.0]","[-49.7712287902832, 32.51154708862305, 0.16560018062591553]","[33, 30]",True,False,206,2.4989466097809534,0,0,0,[False],[None],0.9999999999999997,1.0,0.7204881865220464,False,none,"[29, 29]","[32, 31]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
116,"[33, 30]","[-49.77151870727539, 37.52103042602539]","[35, 35]","[-25.0, 25.0]","[-25.059598922729492, 25.0517520904541, 0.17818769812583923]","[35, 35]",10,0.0789364465714569,"[[33, 30], [32, 30], [31, 30], [30, 30], [29, 30], [28, 30], [27, 30], [26, 30], [25, 30]]","[32, 30]","[-50.0, 40.0]","[-49.77151870727539, 37.52103042602539, 0.16557931900024414]","[32, 30]",True,False,207,2.489476621665077,0,0,0,[False],[None],1.0000000000000004,1.0,0.7422474348624243,True,commit_expired,"[25, 30]","[21, 30]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
117,"[32, 30]","[-49.7712287902832, 42.51154708862305]","[35, 35]","[-25.0, 25.0]","[-25.05959701538086, 25.05175018310547, 0.17818725109100342]","[35, 35]",10,0.07893231566909392,"[[32, 30], [31, 30], [30, 30], [29, 30], [28, 30], [27, 30], [26, 30], [25, 30]]","[31, 30]","[-50.0, 45.0]","[-49.7712287902832, 42.51154708862305, 0.16555973887443542]","[31, 30]",True,False,206,2.4989466097809534,0,0,0,[False],[None],0.9999999999999999,1.0,0.6936680998486593,False,none,"[25, 30]","[21, 30]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
118,"[31, 30]","[-49.77151870727539, 47.52103042602539]","[35, 35]","[-25.0, 25.0]","[-25.05959701538086, 25.051748275756836, 0.17814438045024872]","[35, 35]",10,0.07892962494371764,"[[31, 30], [30, 30], [29, 30], [28, 30], [27, 30], [26, 30], [25, 30]]","[30, 30]","[-50.0, 50.0]","[-49.77151870727539, 47.52103042602539, 0.1655382364988327]","[30, 30]",True,False,207,2.489476621665077,0,0,0,[False],[None],0.9999999999999998,1.0,0.7055717935744832,False,none,"[25, 30]","[21, 30]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
119,"[30, 30]","[-49.7712287902832, 52.51154708862305]","[35, 35]","[-25.0, 25.0]","[-25.05959701538086, 25.05175018310547, 0.1781439483165741]","[35, 35]",10,0.07892837440434158,"[[30, 30], [29, 30], [28, 30], [27, 30], [26, 30], [25, 30]]","[29, 30]","[-50.0, 55.0]","[-49.7712287902832, 52.51154708862305, 0.16582666337490082]","[29, 30]",True,False,206,2.4989466097809534,0,0,0,[False],[None],1.0,0.9608657146756753,0.7119121215431068,False,none,"[25, 30]","[21, 30]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
120,"[29, 30]","[-49.77151870727539, 57.52103042602539]","[35, 35]","[-25.0, 25.0]","[-25.05959701538086, 25.05175018310547, 0.17812491953372955]","[35, 35]",10,0.07892962494371764,"[[29, 30], [28, 30], [27, 30], [26, 30], [25, 30]]","[28, 30]","[-50.0, 60.0]","[-49.77151870727539, 57.52103042602539, 0.16579215228557587]","[28, 30]",True,False,207,2.489476621665077,0,0,0,[False],[None],1.0,0.98574049705764,0.6760028706777815,False,none,"[25, 30]","[21, 30]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
