run_kind,tick_global,policy_step,tick_in_policy_step,reporter_usv_id,agent_id,sensor_id,recommended_rule_id,expected_target_present_for_audit,raw_sensor_found,accepted_candidate,teammate_rejected,range_limited,estimated_world_position,target_world_location_for_audit,target_position_error_m,observer_world_location,matched_range_m,bearing_deg,blob_yaw_deg,matched_beam_index,matched_beam_yaw_deg,beam_yaw_error_deg,local_range_scaled_blob_present,local_blob_area,local_blob_range_scaled_area,sphere_blob_local_candidate_count,sphere_blob_candidate_count,rgb_changed_pixels,rgb_change_bbox_xyxy,rangefinder_hit_beam_indices,rangefinder_min_positive_range_m,nearest_teammate_agent_name,nearest_teammate_distance_m,within_teammate_exclusion_radius,truth_used_for_detection,actor_truth_used_for_detection,target_truth_used_for_detection,teammate_truth_used_for_detection
target,25,3,1,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[10.170212765957446, 6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,26,3,2,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[10.51063829787234, -6.0, 0.0]",,,,,,,False,0,,0,0,0,,[8],27.77691650390625,,,False,False,False,False,False
target,26,3,2,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[10.51063829787234, 6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,27,3,3,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[10.851063829787234, -6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,27,3,3,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[10.851063829787234, 6.0, 0.0]",,,,,,,False,0,,0,0,0,,[6],27.83273696899414,,,False,False,False,False,False
target,28,3,4,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[11.191489361702128, -6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,28,3,4,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[11.191489361702128, 6.0, 0.0]",,,,,,,False,0,,0,0,0,,[6],27.59756851196289,,,False,False,False,False,False
target,29,3,5,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[11.53191489361702, -6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,29,3,5,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[11.53191489361702, 6.0, 0.0]",,,,,,,False,0,,0,0,0,,[6],27.547548294067383,,,False,False,False,False,False
target,30,3,6,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[11.872340425531915, -6.0, 0.0]",,,,,,,False,0,,1,0,29,"[76, 127, 280, 182]",[],,,,False,False,False,False,False
